,current_stock,new_stock,demand,reward,capacity,storage_cost,selling_price,manufacturing_price,t,total_production_cost,total_revenue_generated
228,100.0,100.0,501.1574070269678,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
229,100.0,100.0,499.883296762323,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
230,100.0,100.0,513.8472487239219,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
231,100.0,100.0,528.449463980931,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
232,100.0,100.0,542.1453007880148,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
233,100.0,100.0,556.1497401839748,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
234,100.0,100.0,451.82335616322564,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
235,100.0,100.0,481.4578553320264,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
236,100.0,100.0,477.7826888213856,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
237,100.0,100.0,489.577512906727,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
238,100.0,100.0,502.2760082465646,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
239,100.0,100.0,514.3617766766143,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
240,100.0,100.0,527.0722639495314,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
241,100.0,100.0,421.78432053310695,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
242,100.0,100.0,450.79947400992484,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
243,100.0,100.0,446.8504209506409,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
244,100.0,100.0,458.7135161713767,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
245,100.0,100.0,471.81276709680446,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
246,100.0,100.0,484.6160464093075,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
247,100.0,100.0,498.33946222126326,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
248,100.0,100.0,394.33348560150694,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
249,100.0,100.0,424.86889391459545,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
